date,oil_production_growth,real_activity,real_oil_price,real_sp500_return,fedfunds
1986-02-01,-0.028895992688227068,-51.768848,-1.9633818578616011,2.245738325817559,7.86
1986-03-01,-0.9783446309070243,-55.409076,-2.1506628993744794,5.766068209110831,7.48
1986-04-01,0.07840206070248712,-61.57038,-2.152516857764764,4.5888856864687355,6.99
1986-05-01,2.1546146271081312,-66.405156,-1.975329511477757,-0.2671017838984824,6.85
1986-06-01,1.3993178715136168,-69.363919,-2.095288565771299,3.7492278259823486,6.92
1986-07-01,1.9819182011584502,-80.987409,-2.2354813716469293,2.7252684041624065,6.56
1986-08-01,1.2475741892354009,-78.32166,-2.021999307617819,-7.129812603802677,6.17
1986-09-01,-7.027950558301299,-54.279694,-1.9971077542413171,5.267787345352382,5.89
1986-10-01,0.5629711976519403,-48.829902,-2.0022788673138683,-6.37295962313722,5.85
1986-11-01,1.5378400548078375,-51.147616,-1.9821570275717935,4.909469534123101,6.04
1986-12-01,0.3892584016590206,-60.136219,-1.9376411822915205,0.9518841755150831,6.91
1987-01-01,-1.1398994294289366,-46.537781,-1.7942760982751504,-1.589512418437078,6.43
1987-02-01,-1.3172887074595963,-41.807747,-1.8408895838395656,11.128666294398748,6.1
1987-03-01,-1.3404262366176312,-35.097154,-1.8150226226986808,1.9845448335320093,6.13
1987-04-01,1.0825645160245756,-25.198604,-1.7988832749559063,2.816101718332309,6.37
1987-05-01,1.401955847603631,-19.448618,-1.7662469899279687,-1.76481033107736,6.85
1987-06-01,-0.327362135704945,-30.734753,-1.733573683168879,0.18148425191890638,6.73
1987-07-01,4.368745039485233,-33.677065,-1.6776151487784285,4.160059151931073,6.58
1987-08-01,1.249423861754373,-18.792031,-1.726237180180351,4.277946627007978,6.73
1987-09-01,-1.0380805408756189,-22.337731,-1.7698563775206884,1.4698185398948738,7.22
1987-10-01,0.38860488113137137,-17.334438,-1.758240599461408,0.9466762815138807,7.29
1987-11-01,-0.8152148511157975,-12.320668,-1.8108309946935404,-25.024061619212112,6.69
1987-12-01,0.12331421499585105,-5.1292209,-1.8942406278720854,-9.919463532970418,6.77
